nombre
Rock
Pop
Reggaeton
Rap
Electronica
Clasica
Jazz
Metal
Indie
Alternativa
Punk
Soul
Folk
Country
Reggae
Blues
Ska
Funk
Disco
Hip Hop
R&B
Infantil
Otro
